nombrePermiso;descPermiso;tipoPermiso
FormUsuario;Acceso al formulario de Usuarios;FORMULARIO
FormCliente;Acceso al formulario de Clientes;FORMULARIO
FormMascota;Acceso al formulario de Mascotas;FORMULARIO
FormVisita;Acceso al formulario de Visitas;FORMULARIO
FormGestionCuentasCorrientes;Acceso al formulario de Cuentas Corrientes;FORMULARIO
FormCuentaCorrienteMovimientos;Acceso al formulario de Movimientos de Cuenta Corriente;FORMULARIO
FormCajaRegistradora;Acceso al formulario de Caja Registradora;FORMULARIO
FormProducto;Acceso al formulario de Productos;FORMULARIO
FormProveedores;Acceso al formulario de Proveedores;FORMULARIO
FormLaboratorio;Acceso al formulario de Laboratorio;FORMULARIO
FormHospitalizaciones;Acceso al formulario de Hospitalizaciones;FORMULARIO
FormProcedimientos;Acceso al formulario de Procedimientos;FORMULARIO
FormTurnosPeluqueria;Acceso al formulario de Turnos de Peluquería;FORMULARIO
ClassConfig;Acceso al formulario de Configuración;FORMULARIO
FormInformesCajaMovimientos;Acceso al formulario de Informes de Caja;FORMULARIO
FormHistoriaClinica;Acceso al formulario de Historia Clínica;FORMULARIO
FormHistorialTurnos;Acceso al formulario de Historial de Turnos;FORMULARIO
FormOrdenesCompra;Acceso al formulario de Órdenes de Compra;FORMULARIO
FormRecibirPedido;Acceso al formulario de Recepción de Pedidos;FORMULARIO
FormStockProducto;Acceso al formulario de Stock de Productos;FORMULARIO
FormAuditoria;Acceso al formulario de Auditoría;FORMULARIO
FormAccesoRestringido;Acceso al formulario de Acceso Restringido;FORMULARIO
PanelTiposCitaPeluqueria;Acceso al panel de Tipos de Cita de Peluquería;FORMULARIO
FormUsuario.GUARDAR;Guardar/Registrar en Usuarios;FUNCIONALIDAD
FormUsuario.EDITAR;Editar/Modificar en Usuarios;FUNCIONALIDAD
FormUsuario.ELIMINAR;Eliminar en Usuarios;FUNCIONALIDAD
FormUsuario.NUEVO;Nuevo en Usuarios;FUNCIONALIDAD
FormUsuario.IMPRIMIR;Imprimir en Usuarios;FUNCIONALIDAD
FormUsuario.EXPORTAR;Exportar en Usuarios;FUNCIONALIDAD
FormCliente.GUARDAR;Guardar/Registrar en Clientes;FUNCIONALIDAD
FormCliente.EDITAR;Editar/Modificar en Clientes;FUNCIONALIDAD
FormCliente.ELIMINAR;Eliminar en Clientes;FUNCIONALIDAD
FormCliente.NUEVO;Nuevo en Clientes;FUNCIONALIDAD
FormCliente.IMPRIMIR;Imprimir en Clientes;FUNCIONALIDAD
FormCliente.EXPORTAR;Exportar en Clientes;FUNCIONALIDAD
