nombreRol;nombrePermiso;acceso
Administrador;ClassConfig;1
Administrador;FormAuditoria;1
Administrador;FormAccesoRestringido;1
Administrador;FormActualizarStock;1
Administrador;FormCajaRegistradora;1
Administrador;FormCliente;1
Administrador;FormConfiguracion;1
Administrador;FormConsumos;1
Administrador;FormCuentaCorrienteMovimientos;1
Administrador;FormGestionCuentasCorrientes;1
Administrador;FormGestionarPedidos;1
Administrador;FormHistoriaClinica;1
Administrador;FormHistorialTurnos;1
Administrador;FormHospitalizaciones;1
Administrador;FormLaboratorio;1
Administrador;FormMascota;1
Administrador;FormOrdenesCompra;1
Administrador;FormProcedimientos;1
Administrador;FormProducto;1
Administrador;FormProveedores;1
Administrador;FormRecibirPedido;1
Administrador;FormStockProducto;1
Administrador;FormTurnosPeluqueria;1
Administrador;FormUsuario;1
Administrador;FormVisita;1
Administrador;FormActualizarStock.IMPRIMIR;1
Administrador;FormAuditoria.IMPRIMIR;1
Administrador;FormCajaRegistradora.ABRIR_CAJA;1
Administrador;FormCajaRegistradora.AGREGAR_METODO_PAGO;1
Administrador;FormCajaRegistradora.AGREGAR_PRODUCTO_VENTA;1
Administrador;FormCajaRegistradora.CERRAR_CAJA;1
Administrador;FormCajaRegistradora.EDITAR;1
Administrador;FormCajaRegistradora.ELIMINAR;1
Administrador;FormCajaRegistradora.EXPORTAR;1
Administrador;FormCajaRegistradora.GUARDAR;1
Administrador;FormCajaRegistradora.IMPRIMIR;1
Administrador;FormCajaRegistradora.NUEVO;1
Administrador;FormCajaRegistradora.REGISTRAR_COBRO_CC;1
Administrador;FormCajaRegistradora.REGISTRAR_VENTA;1
Administrador;FormCliente.EDITAR;1
Administrador;FormCliente.ELIMINAR;1
Administrador;FormCliente.EXPORTAR;1
Administrador;FormCliente.GUARDAR;1
Administrador;FormCliente.IMPRIMIR;1
Administrador;FormCliente.NUEVO;1
Administrador;FormConfiguracion.EDITAR;1
Administrador;FormConfiguracion.ELIMINAR;1
Administrador;FormConfiguracion.GUARDAR;1
Administrador;FormCuentaCorrienteMovimientos.EDITAR;1
Administrador;FormCuentaCorrienteMovimientos.ELIMINAR;1
Administrador;FormCuentaCorrienteMovimientos.EXPORTAR;1
Administrador;FormCuentaCorrienteMovimientos.GUARDAR;1
Administrador;FormCuentaCorrienteMovimientos.IMPRIMIR;1
Administrador;FormCuentaCorrienteMovimientos.NUEVO;1
Administrador;FormGestionCuentasCorrientes.EDITAR;1
Administrador;FormGestionCuentasCorrientes.ELIMINAR;1
Administrador;FormGestionCuentasCorrientes.EXPORTAR;1
Administrador;FormGestionCuentasCorrientes.GUARDAR;1
Administrador;FormGestionCuentasCorrientes.IMPRIMIR;1
Administrador;FormGestionCuentasCorrientes.NUEVO;1
Administrador;FormHistoriaClinica.IMPRIMIR;1
Administrador;FormHistorialTurnos.IMPRIMIR;1
Administrador;FormHospitalizaciones.EDITAR;1
Administrador;FormHospitalizaciones.ELIMINAR;1
Administrador;FormHospitalizaciones.EXPORTAR;1
Administrador;FormHospitalizaciones.GUARDAR;1
Administrador;FormHospitalizaciones.IMPRIMIR;1
Administrador;FormHospitalizaciones.NUEVO;1
Administrador;FormLaboratorio.EDITAR;1
Administrador;FormLaboratorio.ELIMINAR;1
Administrador;FormLaboratorio.EXPORTAR;1
Administrador;FormLaboratorio.GUARDAR;1
Administrador;FormLaboratorio.IMPRIMIR;1
Administrador;FormLaboratorio.NUEVO;1
Administrador;FormMascota.EDITAR;1
Administrador;FormMascota.ELIMINAR;1
Administrador;FormMascota.EXPORTAR;1
Administrador;FormMascota.GUARDAR;1
Administrador;FormMascota.IMPRIMIR;1
Administrador;FormMascota.NUEVO;1
Administrador;FormOrdenesCompra.AGREGAR;1
Administrador;FormOrdenesCompra.EDITAR;1
Administrador;FormOrdenesCompra.ELIMINAR;1
Administrador;FormOrdenesCompra.GUARDAR;1
Administrador;FormOrdenesCompra.QUITAR;1
Administrador;FormProcedimientos.EDITAR;1
Administrador;FormProcedimientos.ELIMINAR;1
Administrador;FormProcedimientos.EXPORTAR;1
Administrador;FormProcedimientos.GUARDAR;1
Administrador;FormProcedimientos.IMPRIMIR;1
